Method,R@1,R@3,R@5,R@10,Mean Rank
Clean (No Attack),85.2,95.19999999999999,97.6,99.1,1.747
FGSM,60.31999999999999,76.5,82.72,89.53999999999999,7.6052
FGSM + JPEG,71.66,86.3,91.02,94.98,3.9084
PGD,1.82,3.66,4.64,6.78,1192.6078
PGD + JPEG,65.46,81.44,86.76,92.2,6.6052
MI-FGSM,1.0999999999999999,2.48,3.2800000000000002,4.68,1541.047
MI-FGSM + JPEG,55.98,72.96000000000001,79.58,86.7,12.165
