Method,R@1,R@3,R@5,R@10,Mean Rank
Clean (No Attack),85.2,95.19999999999999,97.6,99.1,1.747
FGSM,60.36,76.58,82.78,89.48,7.5974
FGSM + JPEG,66.36,82.26,88.02,92.97999999999999,4.8262
PGD,1.9,3.46,4.4799999999999995,6.5,1171.385
PGD + JPEG,40.660000000000004,57.32000000000001,64.8,74.08,30.2168
MI-FGSM,1.26,2.5,3.18,4.84,1541.3466
MI-FGSM + JPEG,29.580000000000002,43.82,51.239999999999995,62.0,66.3294
