Method,R@1,R@3,R@5,R@10,Mean Rank
Clean (No Attack),77.10000000000001,91.4,95.7,98.4,2.931
FGSM,36.3,52.32,59.81999999999999,68.78,37.1522
FGSM + JPEG,35.52,51.1,57.92,67.97999999999999,39.795
PGD,0.22,0.52,0.8,1.4000000000000001,2194.6258
PGD + JPEG,3.64,7.04,8.959999999999999,11.959999999999999,731.9658
MI-FGSM,0.32,0.5,0.8999999999999999,1.44,2292.2518
MI-FGSM + JPEG,3.1199999999999997,5.64,6.959999999999999,9.719999999999999,899.4514
