Method,R@1,R@3,R@5,R@10,Mean Rank
Clean (No Attack),86.5,95.19999999999999,97.7,99.2,1.661
FGSM,65.06,81.12,87.14,93.16,4.8608
FGSM + JPEG,69.76,84.54,90.46,94.67999999999999,3.966
PGD,2.16,4.24,5.46,8.12,1097.008
PGD + JPEG,36.94,53.300000000000004,61.46,71.64,38.4434
MI-FGSM,2.1,3.82,5.140000000000001,7.08,1235.2384
MI-FGSM + JPEG,28.439999999999998,42.14,49.34,59.12,76.5044
