Method,R@1,R@3,R@5,R@10,Mean Rank
Clean (No Attack),77.10000000000001,91.4,95.7,98.4,2.931
FGSM,36.3,52.300000000000004,59.81999999999999,68.78,37.1486
FGSM + JPEG,40.36,55.800000000000004,63.36000000000001,72.68,27.4394
PGD,0.3,0.5599999999999999,0.84,1.52,2198.001
PGD + JPEG,16.939999999999998,26.840000000000003,32.72,41.22,149.0506
MI-FGSM,0.3,0.52,0.88,1.44,2292.5362
MI-FGSM + JPEG,10.22,17.0,20.979999999999997,27.46,307.9778
