Method,R@1,R@3,R@5,R@10,Mean Rank
Clean (No Attack),81.0,94.0,97.3,98.9,1.879
FGSM,43.36,61.53999999999999,70.02000000000001,78.84,20.8488
FGSM + JPEG,48.36,66.94,74.62,82.67999999999999,14.9278
PGD,0.13999999999999999,0.36,0.62,0.96,2453.5892
PGD + JPEG,15.24,25.259999999999998,30.7,38.36,198.942
MI-FGSM,0.12,0.27999999999999997,0.44,0.72,2722.4262
MI-FGSM + JPEG,8.7,15.18,18.96,25.540000000000003,387.252
