Method,R@1,R@3,R@5,R@10,Mean Rank
Clean (No Attack),81.0,94.0,97.3,98.9,1.879
FGSM,43.36,61.53999999999999,70.02000000000001,78.84,20.8492
FGSM + JPEG,62.62,79.47999999999999,85.32,90.9,6.8138
PGD,0.13999999999999999,0.42,0.66,1.02,2454.1264
PGD + JPEG,62.419999999999995,78.88,84.44,90.75999999999999,6.8694
MI-FGSM,0.12,0.27999999999999997,0.44,0.7000000000000001,2722.4864
MI-FGSM + JPEG,53.12,70.96000000000001,77.52,84.82,12.4492
