Method,R@1,R@3,R@5,R@10,Mean Rank
Clean (No Attack),81.0,94.0,97.3,98.9,1.879
FGSM,43.36,61.53999999999999,70.02000000000001,78.84,20.8518
FGSM + JPEG,55.26,72.16,79.72,86.96000000000001,10.2046
PGD,0.12,0.44,0.7000000000000001,1.24,2470.291
PGD + JPEG,42.08,60.24,67.46,76.5,24.1838
MI-FGSM,0.1,0.33999999999999997,0.5,0.8,2719.6614
MI-FGSM + JPEG,28.499999999999996,42.94,50.980000000000004,61.22,68.8174
