Method,R@1,R@3,R@5,R@10,Mean Rank
Clean (No Attack),77.10000000000001,91.4,95.7,98.4,2.931
FGSM,36.3,52.300000000000004,59.81999999999999,68.78,37.1486
FGSM + JPEG,32.84,47.82,54.7,64.82,46.0934
PGD,0.3,0.5599999999999999,0.84,1.52,2198.001
PGD + JPEG,1.6,2.92,3.56,5.12,1356.1998
MI-FGSM,0.3,0.52,0.88,1.44,2292.5362
MI-FGSM + JPEG,1.72,3.04,3.8600000000000003,5.52,1365.6978
