Method,R@1,R@3,R@5,R@10,Mean Rank
Clean (No Attack),86.5,95.19999999999999,97.7,99.2,1.661
FGSM,65.06,81.10000000000001,87.14,93.17999999999999,4.8614
FGSM + JPEG,78.36,90.98,95.14,97.2,2.5496
PGD,1.94,4.34,5.54,8.1,1099.8224
PGD + JPEG,77.4,90.60000000000001,94.66,97.2,2.8176
MI-FGSM,1.8599999999999999,3.74,4.7,7.16,1238.2744
MI-FGSM + JPEG,72.06,86.64,91.42,95.67999999999999,3.717
