Method,R@1,R@3,R@5,R@10,Mean Rank
Clean (No Attack),85.2,95.19999999999999,97.6,99.1,1.747
FGSM,60.36,76.6,82.78,89.48,7.5976
FGSM + JPEG,74.8,88.36,92.28,96.1,3.3888
PGD,1.8399999999999999,3.36,4.4799999999999995,6.76,1164.0978
PGD + JPEG,74.9,88.6,93.06,96.46000000000001,3.0358
MI-FGSM,1.08,2.52,3.2399999999999998,4.84,1542.1864
MI-FGSM + JPEG,71.06,85.38,90.3,94.96,3.7614
